Age,MaritalStatus,NumberOfDependents,EducationLevel,EmploymentStatus,Experience,AnnualIncome,SavingsAccountBalance,MonthlyDebtPayments,CreditScore,DebtToIncomeRatio,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,LengthOfCreditHistory,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LoanAmount,LoanPurpose,LoanDuration,RiskScore,LoanApproved
23,Single,0.0,Bachelor's,Employed,0.0,177155.0,1929.0,1083,481.0,0.073,21.1,4,1,2.2,0,0,70.4,526571,Auto,48,21.9,1
24,Married,0.0,Bachelor's,Self-Employed,4.0,111855.0,7359.0,909,341.0,0.098,72.9,6,1,2.9,0,0,55.2,80325,Education,60,36.1,1
26,Married,0.0,Bachelor's,Employed,6.0,288753.0,9034.0,5248,501.0,,52.2,4,2,5.0,0,0,59.6,329271,Home,48,24.9,1
24,Single,1.0,Master's,Self-Employed,4.0,183668.0,21518.0,3900,499.0,0.255,44.4,3,3,2.2,1,0,36.8,454726,Auto,120,48.7,1
25,Divorced,2.0,High School,Employed,4.0,124631.0,3812.0,1798,402.0,0.173,47.7,6,1,2.9,0,0,45.2,92497,Debt Consolidation,120,32.1,1
22,Single,1.0,Master's,Employed,0.0,418862.0,,4813,387.0,0.138,41.3,3,2,1.8,0,0,47.5,467497,Education,24,36.1,1
24,Married,0.0,High School,Employed,4.0,133449.0,60250.0,2147,384.0,0.193,100.0,1,2,4.3,0,0,48.4,377367,Education,24,34.8,1
23,Single,1.0,Bachelor's,Employed,2.0,146935.0,7823.0,2160,406.0,0.176,43.2,4,3,1.6,1,0,26.0,439334,Debt Consolidation,36,41.7,1
26,Single,2.0,Master's,Employed,5.0,423422.0,80616.0,3772,463.0,0.107,29.5,2,1,3.1,0,0,53.6,959941,Debt Consolidation,120,23.8,1
24,Single,0.0,Bachelor's,Employed,1.0,136838.0,95721.0,1672,435.0,0.147,44.8,4,2,3.8,0,1,48.7,340801,Education,48,30.0,1
20,Single,0.0,Bachelor's,Unemployed,2.0,100000.0,75033.0,696,450.0,0.084,58.5,2,5,0.9,0,0,46.3,162253,Home,240,33.2,1
20,Single,0.0,High School,Employed,1.0,131159.0,73146.0,1193,401.0,0.109,60.3,5,2,0.9,0,0,48.7,255416,Education,120,41.5,1
22,Married,1.0,PhD,Employed,6.0,329554.0,17010.0,1916,401.0,0.07,64.9,4,0,2.6,0,0,34.9,396226,Auto,60,29.5,1
24,Single,0.0,Bachelor's,Employed,3.0,206865.0,88388.0,1553,441.0,0.09,32.3,1,3,4.6,0,0,67.8,184857,Personal,60,17.0,1
29,Single,0.0,Bachelor's,Employed,8.0,178655.0,155980.0,1369,409.0,0.092,38.9,4,3,4.2,0,0,55.0,114307,Home,60,32.9,1
25,Single,2.0,High School,Unemployed,7.0,100000.0,2179.0,166,440.0,0.02,23.8,3,3,2.6,0,0,50.8,284504,Debt Consolidation,60,24.9,1
22,Married,0.0,High School,Employed,6.0,100000.0,1635.0,421,462.0,0.051,,2,2,2.4,1,0,32.0,97718,Auto,60,41.1,1
26,Married,2.0,PhD,Self-Employed,6.0,410444.0,375476.0,699,567.0,0.02,43.0,6,2,2.9,0,0,72.2,692157,Education,36,14.6,1
27,Divorced,2.0,Bachelor's,Self-Employed,10.0,436006.0,155981.0,2337,459.0,0.064,54.6,2,1,4.3,0,0,48.7,850757,Business,60,16.8,1
24,Married,1.0,PhD,Employed,4.0,717510.0,354324.0,10967,429.0,0.183,59.8,3,0,2.3,0,0,71.9,1998247,Home,120,33.7,1
27,Married,0.0,Bachelor's,Self-Employed,8.0,405007.0,290548.0,6779,440.0,0.201,70.1,3,0,5.7,0,0,65.6,264451,Personal,12,36.4,1
20,Single,0.0,Master's,Unemployed,0.0,119500.0,34162.0,420,408.0,0.042,28.3,1,0,1.2,0,0,46.8,315301,Personal,180,27.7,1
29,Married,0.0,Bachelor's,Unemployed,4.0,148819.0,129278.0,1587,397.0,0.128,44.5,4,2,8.2,0,0,43.4,261560,Personal,60,27.8,1
21,Single,0.0,Bachelor's,Employed,6.0,119760.0,3524.0,529,432.0,0.053,29.6,1,2,1.5,0,1,57.0,100326,Education,180,37.9,1
24,Single,0.0,High School,Employed,4.0,238268.0,8799.0,1027,433.0,0.052,61.4,4,1,2.7,0,0,37.1,304490,Debt Consolidation,120,31.8,1
19,Single,1.0,Bachelor's,Self-Employed,0.0,239547.0,7118.0,1200,393.0,0.06,88.7,3,2,0.7,0,0,28.4,613516,Home,36,34.4,0
25,Married,0.0,Bachelor's,Employed,3.0,468214.0,154534.0,6280,491.0,0.161,65.3,2,1,3.6,0,0,52.5,237345,Auto,48,31.9,1
26,Married,1.0,Bachelor's,Employed,5.0,259952.0,165944.0,4288,555.0,0.198,54.4,4,3,3.6,0,0,62.3,350227,Business,36,27.0,1
18,Married,0.0,Master's,Unemployed,0.0,100000.0,11483.0,166,358.0,0.02,38.6,3,1,0.0,1,1,21.1,278481,Education,120,54.0,0
23,Single,0.0,PhD,Employed,0.0,240082.0,140392.0,3963,426.0,0.198,40.6,5,1,1.6,1,0,24.7,424537,Business,180,40.8,0
22,Married,0.0,High School,Employed,2.0,113652.0,53433.0,2292,405.0,0.242,55.1,2,1,2.2,0,0,53.2,152825,Education,12,32.6,1
25,Married,2.0,Bachelor's,Employed,8.0,114125.0,19259.0,1325,415.0,0.139,62.2,3,2,2.6,0,0,42.6,77691,Home,24,29.4,1
19,Single,0.0,Master's,Employed,1.0,100000.0,3189.0,560,407.0,0.067,100.0,5,1,0.4,0,0,54.0,161981,Education,60,34.8,0
29,Married,1.0,Bachelor's,Employed,4.0,279448.0,24421.0,4103,496.0,0.176,18.7,6,3,5.0,0,0,72.6,450710,Home,24,26.0,1
23,Single,0.0,High School,Employed,0.0,155881.0,14929.0,2242,460.0,0.173,65.0,1,5,3.8,0,0,57.1,88983,Home,12,29.2,1
23,Married,0.0,PhD,Employed,3.0,384998.0,283256.0,1573,353.0,0.049,93.8,1,3,3.5,0,0,36.8,196144,Business,48,42.6,1
21,Single,0.0,High School,Employed,4.0,100000.0,3848.0,1165,511.0,0.14,49.9,2,0,1.3,1,0,39.5,112448,Debt Consolidation,60,28.5,1
27,Married,1.0,Bachelor's,Employed,3.0,212789.0,45475.0,2291,383.0,0.129,78.8,4,2,6.8,0,1,57.0,207928,Home,180,51.3,0
28,Single,2.0,Bachelor's,Employed,6.0,158934.0,,2820,440.0,,40.3,3,3,5.8,0,1,50.8,198731,Debt Consolidation,12,41.3,1
20,Single,0.0,Bachelor's,Unemployed,0.0,100000.0,30594.0,1138,300.0,0.137,80.4,2,1,1.3,0,0,25.5,242307,Debt Consolidation,48,51.3,0
22,Married,0.0,Bachelor's,Employed,4.0,451307.0,256554.0,7917,461.0,0.211,38.8,1,1,2.0,0,0,58.8,957437,Auto,180,34.9,1
26,Single,1.0,High School,Employed,4.0,154360.0,54548.0,3238,381.0,0.252,50.6,4,2,4.0,0,0,50.7,221556,Education,180,40.8,1
25,Married,0.0,Bachelor's,Employed,2.0,156160.0,52450.0,2834,365.0,0.218,59.5,2,3,5.4,0,0,27.7,334402,Home,120,47.0,1
21,Single,0.0,Master's,Unemployed,3.0,100000.0,17388.0,1250,300.0,0.15,76.8,3,1,1.6,0,0,30.1,71818,Education,36,52.8,0
24,Married,0.0,Bachelor's,Employed,7.0,148585.0,40612.0,1352,441.0,0.109,33.1,3,1,3.7,0,1,43.7,154995,Home,36,35.5,1
26,Single,0.0,Master's,Employed,8.0,207418.0,4084.0,2064,480.0,0.119,36.4,3,1,3.6,0,1,41.4,534672,Home,48,33.9,1
21,Single,0.0,PhD,Employed,3.0,234744.0,4309.0,1930,482.0,0.099,73.4,4,1,1.4,0,0,61.1,295938,Home,24,39.0,1
25,Married,3.0,Bachelor's,Employed,4.0,365861.0,128796.0,4098,445.0,0.134,23.4,5,0,5.4,0,0,42.7,378830,Business,60,27.6,1
27,Married,2.0,PhD,Employed,8.0,336210.0,4112.0,6172,444.0,0.22,50.3,3,2,3.3,0,0,50.5,780503,Business,24,36.2,1
24,Married,0.0,High School,Employed,1.0,101580.0,11487.0,723,382.0,0.085,88.4,5,2,4.0,0,0,53.9,246954,Home,120,43.0,1
22,Married,0.0,Bachelor's,Self-Employed,5.0,207226.0,24488.0,664,507.0,0.038,23.5,4,3,2.6,0,0,57.5,594736,Education,48,23.6,1
25,Divorced,3.0,PhD,Employed,6.0,233540.0,41266.0,4562,442.0,0.234,54.9,2,1,4.2,0,1,49.0,463642,Auto,48,33.5,1
22,Single,0.0,Master's,Employed,0.0,490678.0,328452.0,5876,507.0,0.144,74.2,5,2,2.8,0,0,66.4,1417877,Education,48,24.9,1
30,Married,2.0,PhD,Employed,10.0,212152.0,65063.0,2916,394.0,0.165,23.6,10,1,9.2,0,0,39.0,436252,Debt Consolidation,120,31.1,1
20,Single,0.0,Bachelor's,Employed,0.0,,15150.0,2201,359.0,0.246,41.0,1,2,1.6,0,0,63.4,253841,Home,120,28.0,1
24,Single,0.0,High School,Employed,7.0,447702.0,123883.0,2172,483.0,0.058,24.3,3,2,3.8,0,0,60.8,1094855,Debt Consolidation,12,24.0,1
28,Married,2.0,Master's,Employed,8.0,246580.0,48172.0,4862,447.0,0.237,60.5,3,2,4.1,0,1,56.4,215202,Education,240,38.1,1
22,Married,0.0,Master's,Employed,0.0,385425.0,44785.0,839,444.0,0.026,26.1,5,7,1.9,0,0,46.0,481636,Debt Consolidation,60,27.2,1
20,Single,0.0,Bachelor's,Unemployed,3.0,100000.0,45920.0,2050,429.0,0.246,75.4,6,4,1.1,0,0,62.8,67348,Debt Consolidation,24,35.7,1
20,Single,0.0,High School,Employed,3.0,100000.0,36509.0,567,475.0,0.068,42.3,2,1,1.6,0,0,45.5,83521,Personal,120,35.2,1
21,Single,,PhD,Employed,4.0,,172961.0,13007,437.0,0.219,61.5,4,0,0.9,0,0,65.1,818029,Home,12,38.0,1
22,Single,1.0,Bachelor's,Employed,3.0,337428.0,18158.0,2245,351.0,0.08,64.6,3,1,1.2,0,0,42.1,689918,Education,120,35.8,1
24,Single,0.0,Bachelor's,Self-Employed,5.0,150947.0,36327.0,1116,444.0,0.089,39.3,4,4,4.5,0,1,68.6,238695,Business,240,31.6,1
24,Single,0.0,PhD,Employed,4.0,357454.0,40955.0,2166,473.0,0.073,37.3,4,0,4.0,0,0,53.4,799634,Business,36,30.8,1
26,Divorced,0.0,Master's,Employed,3.0,137446.0,8873.0,1781,460.0,0.155,24.6,2,2,3.6,0,0,43.3,137753,Auto,48,33.6,1
25,Single,2.0,Bachelor's,Employed,3.0,385138.0,120528.0,1315,374.0,0.041,35.0,2,3,5.2,0,0,39.9,315677,Home,180,29.6,1
19,Single,,Master's,Employed,4.0,294089.0,136696.0,4995,380.0,0.204,41.4,3,1,0.7,1,0,30.1,624401,Home,120,48.7,1
27,Married,0.0,Master's,Employed,4.0,372086.0,7878.0,9263,423.0,0.299,66.0,5,2,6.8,0,0,48.9,1066743,Personal,240,47.1,1
21,Single,0.0,Bachelor's,Employed,1.0,113501.0,5085.0,1109,405.0,0.117,32.4,3,2,1.0,1,0,30.7,69869,Debt Consolidation,48,43.3,1
19,Married,0.0,Master's,Employed,0.0,348359.0,32634.0,580,436.0,0.02,58.6,2,0,0.6,0,0,54.8,890919,Auto,120,26.4,1
25,Married,,High School,Employed,7.0,,48749.0,2434,386.0,0.115,72.7,5,2,3.4,0,0,38.1,657234,Auto,180,30.1,1
23,Married,,Bachelor's,Employed,5.0,369307.0,121681.0,1874,407.0,0.061,18.7,8,3,1.8,0,0,34.1,885080,Education,240,16.3,1
22,Single,0.0,Master's,Employed,6.0,159219.0,27341.0,5044,374.0,0.38,65.7,5,1,2.6,0,0,30.2,167264,Debt Consolidation,24,46.0,1
22,Married,0.0,Bachelor's,Employed,2.0,224514.0,16542.0,3088,420.0,0.165,74.2,4,3,3.0,0,1,52.2,438380,Debt Consolidation,120,45.5,1
26,Married,0.0,High School,Employed,7.0,103468.0,33123.0,803,503.0,0.093,63.8,2,3,3.7,0,1,52.6,70131,Home,120,43.1,1
23,Single,0.0,High School,Employed,4.0,275941.0,26461.0,1396,476.0,0.061,37.1,7,1,2.0,0,0,46.9,565361,Auto,36,19.2,0
23,Single,0.0,Master's,Employed,2.0,355956.0,225043.0,4619,405.0,0.156,52.3,2,3,2.2,0,0,50.4,229893,Auto,240,33.0,1
24,Single,1.0,High School,Self-Employed,2.0,100000.0,2974.0,166,355.0,0.02,20.7,5,1,3.3,0,0,63.9,232736,Personal,24,17.7,1
20,Single,0.0,High School,Employed,0.0,203277.0,20592.0,1873,460.0,0.111,33.5,2,3,0.8,0,0,68.0,502008,Home,120,21.4,1
24,Single,1.0,High School,Employed,1.0,235568.0,93833.0,916,421.0,0.047,77.2,2,2,2.6,0,0,59.7,602971,Home,60,25.5,1
23,Married,0.0,Bachelor's,Self-Employed,2.0,292904.0,124263.0,5035,429.0,0.206,66.1,5,1,3.6,0,0,41.4,856286,Auto,24,41.2,1
26,Married,2.0,Master's,Self-Employed,1.0,228254.0,10531.0,3871,474.0,0.204,59.4,4,1,3.9,0,0,61.5,477498,Education,48,34.6,1
24,Married,0.0,Master's,Self-Employed,6.0,300148.0,210040.0,3455,464.0,0.138,41.6,5,1,4.5,0,0,66.3,192262,Debt Consolidation,120,28.0,1
29,Married,2.0,Bachelor's,Employed,6.0,,36441.0,3169,503.0,0.105,20.4,5,1,5.7,0,0,62.1,206831,Auto,120,24.1,1
25,Single,,Master's,Employed,6.0,184729.0,109745.0,1128,482.0,0.073,47.1,3,1,4.4,0,1,51.7,210262,Auto,120,37.4,1
24,Single,0.0,High School,Self-Employed,7.0,418629.0,11823.0,6507,409.0,0.187,46.4,2,3,4.6,0,0,48.4,483108,Business,48,36.4,1
22,Single,1.0,High School,Employed,0.0,203849.0,37505.0,4540,406.0,0.267,21.0,2,3,1.6,0,1,53.6,499233,Business,36,35.9,1
20,Single,0.0,PhD,Unemployed,4.0,100000.0,,1135,583.0,0.136,30.2,3,2,0.8,1,0,43.8,111123,Business,120,26.6,1
21,Single,0.0,PhD,Employed,0.0,593903.0,6430.0,11412,481.0,0.231,82.2,2,3,2.3,0,0,47.1,789395,Home,24,29.0,1
29,Married,1.0,Bachelor's,Employed,7.0,260377.0,114543.0,1900,428.0,0.088,60.7,7,2,5.9,0,1,48.9,767586,Home,120,40.1,1
25,Married,0.0,High School,Employed,3.0,116180.0,54284.0,1722,458.0,0.178,12.2,2,3,4.5,1,0,31.2,205396,Education,120,42.1,1
22,Single,0.0,Bachelor's,Employed,3.0,225859.0,124683.0,2122,464.0,0.113,53.4,3,1,2.7,0,0,55.7,165464,Home,24,36.5,1
27,Married,,Bachelor's,Employed,4.0,228950.0,51516.0,4100,480.0,0.215,33.1,9,3,4.1,0,1,69.2,312181,Auto,120,35.6,1
18,Single,0.0,Bachelor's,Self-Employed,0.0,256122.0,6931.0,3145,395.0,0.147,79.0,9,7,0.0,0,0,44.5,663621,Home,48,35.1,1
21,Single,0.0,Bachelor's,Unemployed,2.0,100000.0,55136.0,1162,389.0,0.139,39.9,5,1,1.8,1,0,25.4,287124,Home,36,37.9,1
23,Single,0.0,Bachelor's,Employed,5.0,177013.0,28605.0,725,363.0,0.049,58.3,3,2,2.3,0,0,49.4,284675,Personal,12,33.1,1
18,Married,0.0,Bachelor's,Unemployed,0.0,100000.0,89575.0,1392,494.0,0.167,21.5,2,3,0.0,0,0,59.0,54799,Education,240,14.0,1
28,Single,0.0,High School,Employed,5.0,137620.0,111903.0,3141,437.0,0.274,67.0,4,2,3.3,0,1,44.5,103418,Home,48,50.6,0
28,Married,0.0,Bachelor's,Self-Employed,11.0,592810.0,6708.0,12223,394.0,0.247,29.1,5,4,7.1,0,0,53.1,1285968,Business,120,30.2,1
22,Single,1.0,Master's,Employed,3.0,195346.0,92720.0,3664,354.0,0.225,73.0,5,0,3.1,0,0,31.0,110453,Business,120,39.3,1
24,Married,0.0,Bachelor's,Self-Employed,4.0,206286.0,9027.0,1001,450.0,0.058,62.7,3,3,4.5,0,0,43.2,166293,Education,240,31.8,1
23,Married,0.0,High School,Self-Employed,0.0,172871.0,37599.0,1668,344.0,0.116,49.6,5,1,3.4,0,0,49.3,430354,Home,48,25.8,0
27,Married,0.0,Bachelor's,Self-Employed,5.0,248434.0,81081.0,1216,490.0,0.059,,5,1,5.6,0,0,62.7,193856,Home,60,15.7,1
26,Single,1.0,PhD,Unemployed,6.0,100000.0,122210.0,1377,412.0,0.165,24.4,4,2,5.5,0,0,64.5,297418,Education,60,28.4,1
24,Married,1.0,Bachelor's,Employed,3.0,281232.0,60807.0,4456,554.0,0.19,,4,4,4.6,1,0,49.7,577599,Personal,180,48.7,1
30,Married,2.0,High School,Employed,6.0,241718.0,9620.0,3656,439.0,0.182,53.7,4,0,7.1,1,0,22.3,424586,Home,120,51.0,0
21,Single,0.0,Master's,Employed,,126953.0,100423.0,824,402.0,0.078,30.4,7,3,2.1,0,0,46.0,303198,Business,36,27.1,1
22,Single,0.0,High School,Employed,0.0,333037.0,97458.0,596,459.0,0.021,61.9,1,4,2.7,0,1,59.9,443822,Debt Consolidation,36,34.7,1
25,Married,2.0,Bachelor's,Employed,4.0,100000.0,26719.0,1818,308.0,0.218,25.7,1,1,3.4,0,1,36.2,115186,Personal,240,44.6,1
25,Married,0.0,High School,Employed,6.0,149274.0,89354.0,1880,355.0,0.151,,5,4,3.9,0,1,50.7,238198,Debt Consolidation,36,39.4,1
26,Married,2.0,Master's,Unemployed,1.0,127557.0,18873.0,2293,446.0,0.216,66.3,3,2,5.9,0,0,48.9,317788,Business,180,38.4,1
23,Single,0.0,High School,Self-Employed,6.0,100000.0,16450.0,1858,420.0,0.223,54.3,3,0,2.8,0,0,69.0,58602,Personal,60,25.5,1
27,Divorced,0.0,Bachelor's,Employed,4.0,,,2815,337.0,0.115,48.9,6,3,4.3,0,0,29.1,487953,Home,48,35.8,1
26,Single,3.0,Master's,Employed,6.0,400666.0,163701.0,7544,579.0,0.226,76.7,4,3,4.4,0,0,62.1,220072,Home,60,36.4,1
26,Married,0.0,High School,Employed,5.0,100000.0,58444.0,344,419.0,0.041,28.6,5,0,3.5,0,0,51.1,268718,Debt Consolidation,36,32.2,1
24,Single,1.0,Bachelor's,Employed,4.0,216270.0,27455.0,2993,372.0,0.166,57.9,2,1,3.6,0,0,49.5,160908,Home,36,35.8,1
27,Single,1.0,Bachelor's,Self-Employed,7.0,175315.0,46638.0,1841,481.0,0.126,12.6,3,2,5.6,0,0,44.8,348239,Auto,240,24.5,1
22,Single,0.0,High School,Employed,1.0,201565.0,26038.0,4066,392.0,0.242,44.5,0,0,1.6,1,0,39.4,191034,Auto,48,49.9,1
28,Single,0.0,Bachelor's,Employed,,293432.0,13104.0,5330,387.0,0.218,29.8,4,1,7.2,0,0,53.0,306706,Auto,24,32.0,1
25,Single,0.0,High School,Employed,2.0,100000.0,28567.0,461,452.0,0.055,43.2,3,3,3.6,0,0,52.2,282719,Home,36,28.0,1
25,Married,3.0,High School,Unemployed,5.0,100000.0,6627.0,1211,459.0,0.145,90.7,2,1,3.5,0,0,54.3,261109,Education,48,26.6,1
19,Single,0.0,High School,Employed,2.0,100000.0,6098.0,2116,471.0,0.254,78.0,1,4,0.4,0,1,58.2,125418,Debt Consolidation,60,40.8,1
19,Single,0.0,High School,Employed,0.0,186097.0,39320.0,706,421.0,0.046,74.5,4,1,0.8,0,0,51.9,522799,Education,240,24.9,1
20,Single,0.0,Master's,Self-Employed,4.0,180040.0,28809.0,2140,455.0,0.143,,5,2,1.3,0,1,46.0,343007,Home,120,35.0,1
28,Married,0.0,Bachelor's,Employed,6.0,225551.0,200117.0,1992,435.0,0.106,16.4,6,3,5.3,0,0,57.4,676342,Debt Consolidation,120,26.3,1
22,Single,0.0,High School,Employed,1.0,100000.0,4890.0,467,450.0,0.056,66.0,2,2,1.8,0,0,55.2,204672,Home,60,29.1,1
21,Single,0.0,Bachelor's,Employed,0.0,,89189.0,1919,379.0,0.122,61.1,1,2,2.3,0,0,45.6,127074,Home,60,34.4,1
24,Married,1.0,Bachelor's,Employed,6.0,334186.0,54349.0,4352,396.0,0.156,50.9,6,0,3.6,0,0,49.3,292491,Debt Consolidation,36,23.9,1
18,Single,1.0,Master's,Unemployed,1.0,100000.0,7464.0,2926,343.0,0.351,82.7,4,3,0.0,0,0,42.7,119149,Education,48,49.7,1
30,Married,2.0,Bachelor's,Employed,10.0,123873.0,24087.0,802,549.0,0.078,56.6,3,4,7.2,0,0,70.3,225735,Debt Consolidation,180,19.9,1
28,Single,1.0,Master's,Self-Employed,5.0,549246.0,269311.0,3893,440.0,0.085,49.3,7,1,6.0,0,0,58.3,928260,Home,48,28.3,1
23,Single,1.0,Bachelor's,Self-Employed,3.0,272194.0,5726.0,6073,477.0,0.268,46.1,5,3,1.9,0,0,46.7,365057,Home,48,33.1,1
23,Single,0.0,Bachelor's,Employed,0.0,257860.0,290662.0,3374,453.0,0.157,29.7,1,2,3.8,0,1,56.4,372603,Auto,120,37.9,1
25,Married,2.0,Bachelor's,Employed,6.0,255312.0,48408.0,6065,398.0,0.285,64.7,3,1,2.3,1,0,27.6,544761,Home,60,44.9,1
25,Single,3.0,High School,Self-Employed,5.0,128412.0,86807.0,998,436.0,0.093,51.6,6,3,4.6,0,0,50.6,238094,Home,240,40.8,1
